# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-09-11 13:26:00 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03145483 Raccoon Creek near Granville OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 03145483
#            TS   parameter     Description
#        110246       00065     Gage height, feet
#        110247       00060     Discharge, cubic feet per second
#        110248       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	110246_00065	110246_00065_cd	110247_00060	110247_00060_cd	110248_00045	110248_00045_cd
USGS	03145483	2017-08-01 00:00	EDT			16.4	A		
USGS	03145483	2017-08-01 00:15	EDT			16.4	A		
USGS	03145483	2017-08-01 00:30	EDT			16.4	A		
USGS	03145483	2017-08-01 00:45	EDT			16.4	A		
USGS	03145483	2017-08-01 01:00	EDT			16.4	A		
USGS	03145483	2017-08-01 01:15	EDT			16.4	A		
USGS	03145483	2017-08-01 01:30	EDT			16.4	A		
USGS	03145483	2017-08-01 01:45	EDT			16.4	A		
USGS	03145483	2017-08-01 02:00	EDT			16.4	A		
USGS	03145483	2017-08-01 02:15	EDT			16.4	A		
USGS	03145483	2017-08-01 02:30	EDT			16.4	A		
USGS	03145483	2017-08-01 02:45	EDT			16.4	A		
USGS	03145483	2017-08-01 03:00	EDT			16.4	A		
USGS	03145483	2017-08-01 03:15	EDT			16.4	A		
USGS	03145483	2017-08-01 03:30	EDT			16.4	A		
USGS	03145483	2017-08-01 03:45	EDT			16.4	A		
USGS	03145483	2017-08-01 04:00	EDT			16.4	A		
USGS	03145483	2017-08-01 04:15	EDT			16.4	A		
USGS	03145483	2017-08-01 04:30	EDT			16.4	A		
USGS	03145483	2017-08-01 04:45	EDT			16.4	A		
USGS	03145483	2017-08-01 05:00	EDT			16.4	A		
USGS	03145483	2017-08-01 05:15	EDT			16.4	A		
USGS	03145483	2017-08-01 05:30	EDT			16.4	A		
USGS	03145483	2017-08-01 05:45	EDT			16.4	A		
USGS	03145483	2017-08-01 06:00	EDT			16.4	A		
USGS	03145483	2017-08-01 06:15	EDT			16.4	A		
USGS	03145483	2017-08-01 06:30	EDT			16.4	A		
USGS	03145483	2017-08-01 06:45	EDT			16.4	A		
USGS	03145483	2017-08-01 07:00	EDT			16.4	A		
USGS	03145483	2017-08-01 07:15	EDT			16.4	A		
USGS	03145483	2017-08-01 07:30	EDT			16.4	A		
USGS	03145483	2017-08-01 07:45	EDT			16.4	A		
USGS	03145483	2017-08-01 08:00	EDT			16.4	A		
USGS	03145483	2017-08-01 08:15	EDT			16.4	A		
USGS	03145483	2017-08-01 08:30	EDT			16.4	A		
USGS	03145483	2017-08-01 08:45	EDT			16.4	A		
USGS	03145483	2017-08-01 09:00	EDT			16.4	A		
USGS	03145483	2017-08-01 09:15	EDT			16.4	A		
USGS	03145483	2017-08-01 09:30	EDT			16.4	A		
USGS	03145483	2017-08-01 09:45	EDT			17.0	A		
USGS	03145483	2017-08-01 10:00	EDT			17.0	A		
USGS	03145483	2017-08-01 10:15	EDT			17.0	A		
USGS	03145483	2017-08-01 10:30	EDT			17.0	A		
USGS	03145483	2017-08-01 10:45	EDT			17.0	A		
USGS	03145483	2017-08-01 11:00	EDT			16.4	A		
USGS	03145483	2017-08-01 11:15	EDT			17.0	A		
USGS	03145483	2017-08-01 11:30	EDT			16.4	A		
USGS	03145483	2017-08-01 11:45	EDT			16.4	A		
USGS	03145483	2017-08-01 12:00	EDT			16.4	A		
USGS	03145483	2017-08-01 12:15	EDT			16.4	A		
USGS	03145483	2017-08-01 12:30	EDT			16.4	A		
USGS	03145483	2017-08-01 12:45	EDT			16.4	A		
USGS	03145483	2017-08-01 13:00	EDT			16.4	A		
USGS	03145483	2017-08-01 13:15	EDT			16.4	A		
USGS	03145483	2017-08-01 13:30	EDT			16.4	A		
USGS	03145483	2017-08-01 13:45	EDT			16.4	A		
USGS	03145483	2017-08-01 14:00	EDT			16.4	A		
USGS	03145483	2017-08-01 14:15	EDT			16.4	A		
USGS	03145483	2017-08-01 14:30	EDT			16.4	A		
USGS	03145483	2017-08-01 14:45	EDT			16.4	A		
USGS	03145483	2017-08-01 15:00	EDT			16.4	A		
USGS	03145483	2017-08-01 15:15	EDT			16.4	A		
USGS	03145483	2017-08-01 15:30	EDT			16.4	A		
USGS	03145483	2017-08-01 15:45	EDT			16.4	A		
USGS	03145483	2017-08-01 16:00	EDT			16.4	A		
USGS	03145483	2017-08-01 16:15	EDT			16.4	A		
USGS	03145483	2017-08-01 16:30	EDT			15.7	A		
USGS	03145483	2017-08-01 16:45	EDT			15.7	A		
USGS	03145483	2017-08-01 17:00	EDT			15.7	A		
USGS	03145483	2017-08-01 17:15	EDT			15.7	A		
USGS	03145483	2017-08-01 17:30	EDT			15.7	A		
USGS	03145483	2017-08-01 17:45	EDT			15.7	A		
USGS	03145483	2017-08-01 18:00	EDT			15.7	A		
USGS	03145483	2017-08-01 18:15	EDT			15.7	A		
USGS	03145483	2017-08-01 18:30	EDT			15.7	A		
USGS	03145483	2017-08-01 18:45	EDT			15.7	A		
USGS	03145483	2017-08-01 19:00	EDT			15.7	A		
USGS	03145483	2017-08-01 19:15	EDT			15.7	A		
USGS	03145483	2017-08-01 19:30	EDT			15.7	A		
USGS	03145483	2017-08-01 19:45	EDT			15.7	A		
USGS	03145483	2017-08-01 20:00	EDT			15.7	A		
USGS	03145483	2017-08-01 20:15	EDT			15.7	A		
USGS	03145483	2017-08-01 20:30	EDT			15.7	A		
USGS	03145483	2017-08-01 20:45	EDT			15.7	A		
USGS	03145483	2017-08-01 21:00	EDT			15.7	A		
USGS	03145483	2017-08-01 21:15	EDT			15.7	A		
USGS	03145483	2017-08-01 21:30	EDT			15.7	A		
USGS	03145483	2017-08-01 21:45	EDT			15.7	A		
USGS	03145483	2017-08-01 22:00	EDT			15.7	A		
USGS	03145483	2017-08-01 22:15	EDT			15.7	A		
USGS	03145483	2017-08-01 22:30	EDT			15.7	A		
USGS	03145483	2017-08-01 22:45	EDT			15.7	A		
USGS	03145483	2017-08-01 23:00	EDT			15.7	A		
USGS	03145483	2017-08-01 23:15	EDT			16.4	A		
USGS	03145483	2017-08-01 23:30	EDT			16.4	A		
USGS	03145483	2017-08-01 23:45	EDT			16.4	A		
USGS	03145483	2017-08-02 00:00	EDT			16.4	A		
USGS	03145483	2017-08-02 00:15	EDT			16.4	A		
USGS	03145483	2017-08-02 00:30	EDT			16.4	A		
USGS	03145483	2017-08-02 00:45	EDT			15.7	A		
USGS	03145483	2017-08-02 01:00	EDT			15.7	A		
USGS	03145483	2017-08-02 01:15	EDT			15.7	A		
USGS	03145483	2017-08-02 01:30	EDT			15.7	A		
USGS	03145483	2017-08-02 01:45	EDT			15.7	A		
USGS	03145483	2017-08-02 02:00	EDT			15.7	A		
USGS	03145483	2017-08-02 02:15	EDT			15.7	A		
USGS	03145483	2017-08-02 02:30	EDT			15.7	A		
USGS	03145483	2017-08-02 02:45	EDT			15.7	A		
USGS	03145483	2017-08-02 03:00	EDT			15.7	A		
USGS	03145483	2017-08-02 03:15	EDT			15.7	A		
USGS	03145483	2017-08-02 03:30	EDT			15.7	A		
USGS	03145483	2017-08-02 03:45	EDT			15.7	A		
USGS	03145483	2017-08-02 04:00	EDT			15.7	A		
USGS	03145483	2017-08-02 04:15	EDT			15.7	A		
USGS	03145483	2017-08-02 04:30	EDT			15.7	A		
USGS	03145483	2017-08-02 04:45	EDT			15.7	A		
USGS	03145483	2017-08-02 05:00	EDT			16.4	A		
USGS	03145483	2017-08-02 05:15	EDT			16.4	A		
USGS	03145483	2017-08-02 05:30	EDT			16.4	A		
USGS	03145483	2017-08-02 05:45	EDT			16.4	A		
USGS	03145483	2017-08-02 06:00	EDT			16.4	A		
USGS	03145483	2017-08-02 06:15	EDT			16.4	A		
USGS	03145483	2017-08-02 06:30	EDT			16.4	A		
USGS	03145483	2017-08-02 06:45	EDT			16.4	A		
USGS	03145483	2017-08-02 07:00	EDT			16.4	A		
USGS	03145483	2017-08-02 07:15	EDT			16.4	A		
USGS	03145483	2017-08-02 07:30	EDT			16.4	A		
USGS	03145483	2017-08-02 07:45	EDT			16.4	A		
USGS	03145483	2017-08-02 08:00	EDT			16.4	A		
USGS	03145483	2017-08-02 08:15	EDT			16.4	A		
USGS	03145483	2017-08-02 08:30	EDT			16.4	A		
USGS	03145483	2017-08-02 08:45	EDT			16.4	A		
USGS	03145483	2017-08-02 09:00	EDT			16.4	A		
USGS	03145483	2017-08-02 09:15	EDT			16.4	A		
